RPi 1 A,02/01/2013
RPi 1 A+,11/01/2014
RPi 3 A+,11/01/2018
RPi 1 B,04/01/2012
RPi 1 B+,07/01/2014
RPi 2 B,02/01/2015
RPi 2 Bv1.2,10/01/2016
RPi 3 B,02/01/2016
RPi 3 B+,03/14/2018
RPi 4 B,06/24/2019
CM1,04/01/2014
CM3,01/01/2017
CM3 Lite,01/01/2017
CM3+,01/01/2019
CM3+ Lite,01/01/2019
RPi Zero v1.2,11/01/2015
RPi Zero v1.3,05/01/2016
RPi Zero W,02/28/2017
